player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
James Harden,HOU,29.0,195.58,99.79024,49,0,2009,1,3,78,36.1,6.6,7.5,6.3,0.023,0.157,0.396,0.616,0.3939999999999999,2018
Kobe Bryant,LAL,27.0,198.12,99.79024,0,0,1996,1,13,80,35.4,5.3,4.5,4.7,0.026,0.127,0.384,0.5589999999999999,0.228,2005
James Harden,HOU,30.0,195.58,99.79024,49,0,2009,1,3,68,34.3,6.6,7.5,5.8,0.026,0.139,0.356,0.626,0.366,2019
Joel Embiid,PHI,29.0,213.36,127.00576,35,53,2014,1,3,66,33.1,10.2,4.2,8.8,0.057,0.243,0.37,0.655,0.233,2022
Allen Iverson,PHI,31.0,182.88,74.84268,6,0,1996,1,1,72,33.0,3.2,7.4,0.8,0.016,0.071,0.354,0.5429999999999999,0.331,2005
Luka Doncic,DAL,24.0,200.66,104.32616,0,24,2018,1,3,66,32.4,8.6,8.0,2.1,0.024,0.2239999999999999,0.368,0.609,0.408,2022
Damian Lillard,POR,32.0,187.96,88.45044,118,0,2012,1,6,58,32.2,4.8,7.3,2.1,0.022,0.1119999999999999,0.331,0.645,0.3379999999999999,2022
Tracy McGrady,ORL,24.0,203.2,95.25432,0,0,1997,1,9,75,32.1,6.5,5.5,3.5,0.046,0.147,0.35,0.564,0.282,2002
Stephen Curry,GSW,33.0,190.5,83.91452,174,0,2009,1,7,63,32.0,5.5,5.8,4.6,0.013,0.135,0.331,0.655,0.283,2020
Kevin Durant,OKC,25.0,205.74,108.86208,97,0,2007,1,2,81,32.0,7.4,5.5,8.0,0.022,0.184,0.327,0.635,0.259,2013
Kobe Bryant,LAL,28.0,198.12,99.79024,0,0,1996,1,13,77,31.6,5.7,5.4,0.6,0.0279999999999999,0.132,0.3329999999999999,0.58,0.249,2006
Russell Westbrook,OKC,28.0,190.5,90.7184,3,0,2008,1,4,81,31.6,10.7,10.4,3.3,0.053,0.2789999999999999,0.408,0.5539999999999999,0.5429999999999999,2016
Allen Iverson,PHI,27.0,182.88,74.84268,6,0,1996,1,1,60,31.4,4.5,5.5,5.1,0.019,0.093,0.371,0.489,0.266,2001
Shai Gilgeous-Alexander,OKC,24.0,198.12,88.45044,43,5,2018,1,11,68,31.4,4.8,5.5,2.7,0.023,0.109,0.318,0.626,0.249,2022
LeBron James,CLE,21.0,203.2,108.86208,0,0,2003,1,1,79,31.4,7.0,6.6,4.2,0.026,0.171,0.336,0.568,0.315,2005
Bradley Beal,WAS,28.0,190.5,93.893544,2,0,2012,1,3,60,31.3,4.7,4.4,-0.4,0.033,0.094,0.331,0.593,0.2019999999999999,2020
Giannis Antetokounmpo,MIL,28.0,213.36,110.222856,0,6,2013,1,15,63,31.1,11.8,5.7,7.2,0.065,0.268,0.373,0.605,0.314,2022
