Team,win_percentage,season,Player 1 age,Player 1 player_height,Player 1 player_weight,Player 1 college,Player 1 country,Player 1 draft_year,Player 1 draft_round,Player 1 draft_number,Player 1 gp,Player 1 pts,Player 1 reb,Player 1 ast,Player 1 net_rating,Player 1 oreb_pct,Player 1 dreb_pct,Player 1 usg_pct,Player 1 ts_pct,Player 1 ast_pct,Player 2 age,Player 2 player_height,Player 2 player_weight,Player 2 college,Player 2 country,Player 2 draft_year,Player 2 draft_round,Player 2 draft_number,Player 2 gp,Player 2 pts,Player 2 reb,Player 2 ast,Player 2 net_rating,Player 2 oreb_pct,Player 2 dreb_pct,Player 2 usg_pct,Player 2 ts_pct,Player 2 ast_pct,Player 3 age,Player 3 player_height,Player 3 player_weight,Player 3 college,Player 3 country,Player 3 draft_year,Player 3 draft_round,Player 3 draft_number,Player 3 gp,Player 3 pts,Player 3 reb,Player 3 ast,Player 3 net_rating,Player 3 oreb_pct,Player 3 dreb_pct,Player 3 usg_pct,Player 3 ts_pct,Player 3 ast_pct,Player 4 age,Player 4 player_height,Player 4 player_weight,Player 4 college,Player 4 country,Player 4 draft_year,Player 4 draft_round,Player 4 draft_number,Player 4 gp,Player 4 pts,Player 4 reb,Player 4 ast,Player 4 net_rating,Player 4 oreb_pct,Player 4 dreb_pct,Player 4 usg_pct,Player 4 ts_pct,Player 4 ast_pct,Player 5 age,Player 5 player_height,Player 5 player_weight,Player 5 college,Player 5 country,Player 5 draft_year,Player 5 draft_round,Player 5 draft_number,Player 5 gp,Player 5 pts,Player 5 reb,Player 5 ast,Player 5 net_rating,Player 5 oreb_pct,Player 5 dreb_pct,Player 5 usg_pct,Player 5 ts_pct,Player 5 ast_pct
MIL,0.707,2022,28.0,213.36,110.222856,0,6,2013,1,15,63,31.1,11.8,5.7,7.2,0.065,0.268,0.373,0.605,0.314,33.0,195.58,92.98636,3,0,2009,1,17,67,19.3,5.1,7.4,9.2,0.035,0.107,0.244,0.586,0.321,35.0,215.9,127.912944,59,0,2008,1,10,78,15.9,6.7,1.3,7.1,0.064,0.135,0.187,0.63,0.06,31.0,200.66,100.697424,200,0,2012,2,39,33,15.1,4.2,4.9,6.1,0.034,0.122,0.259,0.551,0.288,28.0,210.82,113.398,128,0,2015,1,22,70,14.1,9.6,1.5,-0.1,0.08,0.263,0.211,0.575,0.087
BOS,0.695,2022,25.0,203.2,95.25432,32,0,2017,1,3,74,30.1,8.8,4.6,8.5,0.0289999999999999,0.2,0.319,0.607,0.205,26.0,198.12,101.151016,7,0,2016,1,3,67,26.6,6.9,3.5,5.4,0.032,0.152,0.307,0.581,0.163,30.0,193.04,103.872568,22,0,2016,2,36,67,14.9,4.2,3.7,5.1,0.024,0.132,0.223,0.615,0.223,28.0,193.04,86.18248,101,0,2017,1,29,82,12.4,3.6,3.9,11.0,0.023,0.098,0.174,0.604,0.191,29.0,193.04,99.79024,21,0,2014,1,6,61,11.5,3.1,6.3,6.3,0.024,0.073,0.176,0.5379999999999999,0.256
PHI,0.659,2022,29.0,213.36,127.00576,35,53,2014,1,3,66,33.1,10.2,4.2,8.8,0.057,0.243,0.37,0.655,0.233,33.0,195.58,99.79024,49,0,2009,1,3,58,21.0,6.1,10.7,6.1,0.021,0.151,0.247,0.607,0.439,22.0,187.96,90.7184,43,0,2020,1,21,60,20.3,2.9,3.5,5.4,0.012,0.079,0.236,0.605,0.1669999999999999,24.0,200.66,92.98636,139,0,0,8,0,1,20.0,4.0,2.0,5.2,0.067,0.074,0.205,0.7440000000000001,0.091,30.0,200.66,102.511792,105,0,2011,1,19,74,14.7,5.7,2.5,5.5,0.03,0.15,0.18,0.602,0.114
DEN,0.646,2022,28.0,210.82,128.820128,0,31,2014,2,41,69,24.5,11.8,9.8,12.5,0.08,0.283,0.263,0.701,0.412,26.0,193.04,97.52228,43,5,2016,1,7,65,20.0,4.0,6.2,6.4,0.024,0.099,0.256,0.5710000000000001,0.265,25.0,208.28,98.883056,76,0,2018,1,14,62,17.4,5.5,1.0,10.4,0.038,0.151,0.22,0.621,0.048,27.0,203.2,106.59412,13,0,2014,1,4,68,16.3,6.6,3.0,12.1,0.086,0.136,0.206,0.617,0.129,26.0,193.04,91.625584,269,0,2018,2,42,80,11.5,4.1,3.4,0.8,0.0289999999999999,0.1159999999999999,0.174,0.5710000000000001,0.1639999999999999
CLE,0.622,2022,26.0,185.42,97.52228,41,0,2017,1,13,68,28.3,4.3,4.4,5.9,0.027,0.0969999999999999,0.31,0.614,0.205,23.0,185.42,87.089664,123,0,2019,1,5,69,21.6,2.7,7.8,8.0,0.012,0.067,0.262,0.5870000000000001,0.3279999999999999,22.0,210.82,97.52228,146,0,2021,1,3,79,16.2,9.0,2.8,6.5,0.073,0.2,0.1989999999999999,0.591,0.122,25.0,205.74,110.222856,97,0,2017,1,22,68,14.3,9.8,1.7,7.7,0.107,0.21,0.162,0.67,0.073,28.0,198.12,92.98636,18,0,2016,1,20,74,12.1,3.8,3.9,4.5,0.024,0.105,0.183,0.546,0.182
MEM,0.622,2022,23.0,187.96,78.92500799999999,148,0,2019,1,2,61,26.2,5.9,8.1,7.3,0.0289999999999999,0.139,0.3379999999999999,0.557,0.412,25.0,195.58,97.52228,293,0,2020,1,30,58,21.5,5.0,4.4,9.0,0.022,0.123,0.252,0.606,0.2019999999999999,23.0,208.28,109.769264,11,0,2018,1,4,63,18.6,6.8,1.0,9.8,0.0579999999999999,0.159,0.243,0.613,0.048,27.0,198.12,102.0582,139,5,2017,2,45,73,14.3,3.3,2.6,4.9,0.019,0.084,0.214,0.494,0.1169999999999999,27.0,187.96,88.904032,32,0,2015,1,24,80,10.3,2.5,5.2,2.0,0.0139999999999999,0.084,0.175,0.546,0.286
SAC,0.585,2022,25.0,190.5,83.91452,43,0,2017,1,5,73,25.0,4.2,6.1,3.1,0.017,0.111,0.288,0.599,0.281,27.0,215.9,108.86208,14,12,2016,1,11,79,19.1,12.3,7.3,3.9,0.096,0.275,0.213,0.6679999999999999,0.297,24.0,200.66,89.811216,26,0,2018,1,19,75,15.2,3.3,2.9,4.5,0.02,0.1,0.1969999999999999,0.617,0.1369999999999999,31.0,203.2,102.0582,4,0,2012,1,7,82,15.0,4.5,1.6,4.8,0.034,0.107,0.168,0.632,0.063,25.0,190.5,90.7184,43,0,2017,1,11,77,13.5,2.6,3.9,1.0,0.019,0.0969999999999999,0.247,0.5870000000000001,0.258
NYK,0.573,2022,28.0,203.2,113.398,43,0,2014,1,7,77,25.1,10.0,4.1,2.7,0.05,0.226,0.288,0.581,0.184,26.0,187.96,86.18248,104,0,2018,2,33,68,24.0,3.5,6.2,2.1,0.016,0.085,0.266,0.597,0.28,23.0,198.12,97.068688,32,5,2019,1,3,73,19.6,5.0,2.8,-1.2,0.023,0.121,0.256,0.531,0.124,24.0,187.96,86.18248,43,0,2020,1,25,81,14.9,4.2,3.4,6.2,0.024,0.11,0.203,0.578,0.178,23.0,195.58,95.25432,44,0,2021,1,25,71,11.3,3.2,2.1,4.4,0.022,0.085,0.142,0.619,0.096
BKN,0.549,2022,26.0,198.12,94.800728,104,0,2018,1,10,83,20.1,4.4,3.3,0.8,0.026,0.094,0.223,0.5870000000000001,0.141,30.0,195.58,97.52228,101,0,2014,2,38,79,17.3,3.4,6.5,-0.1,0.01,0.092,0.22,0.573,0.297,23.0,200.66,122.016248,36,0,2021,2,59,1,16.0,9.0,7.0,-17.5,0.075,0.176,0.205,0.621,0.35,27.0,203.2,95.25432,4,0,2019,1,11,42,15.5,4.4,1.9,6.6,0.0289999999999999,0.12,0.2019999999999999,0.617,0.099,24.0,210.82,97.52228,19,0,2019,2,31,76,12.6,9.2,1.9,3.7,0.088,0.213,0.155,0.691,0.091
PHX,0.549,2022,34.0,208.28,108.86208,97,0,2007,1,2,47,29.1,6.7,5.0,6.8,0.012,0.166,0.305,0.677,0.228,26.0,195.58,93.439952,43,0,2015,1,13,53,27.8,4.5,5.5,6.2,0.025,0.105,0.311,0.601,0.251,24.0,213.36,113.398,13,66,2018,1,1,67,18.0,10.0,1.7,0.0,0.084,0.247,0.231,0.617,0.09,38.0,182.88,79.3786,62,0,2005,1,4,59,13.9,4.3,8.9,2.3,0.0139999999999999,0.118,0.195,0.555,0.389,28.0,185.42,83.007336,148,0,2015,1,14,48,10.3,2.2,4.5,4.1,0.012,0.1,0.239,0.512,0.308
